
 num     #instances         #bytes  class name
 209:             6            144  java.util.concurrent.atomic.AtomicLong
 210:             6            144  sun.misc.PerfCounter
 211:             6            144  sun.reflect.generics.scope.MethodScope
 212:             6            144  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 213:             6            144  [Ljava.util.regex.Pattern$Node;
 214:             8            144  [Lsun.reflect.generics.tree.FormalTypeParameter;
 215:             2            128  java.text.DecimalFormatSymbols
 216:             2            128  java.security.SecureRandom
 217:             4            128  sun.util.LocaleServiceProviderPool
 218:             4            128  javax.management.MBeanNotificationInfo
 219:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping
 220:             4            128  javax.management.StandardEmitterMBean
 221:             2            128  java.io.ExpiringCache$1
 222:             1            128  [Ljava.net.URL;
 223:             4            128  java.io.FileInputStream
 224:             5            120  java.io.FileDescriptor
 225:             3            120  java.util.IdentityHashMap
 226:             5            120  java.util.regex.Pattern$1
 227:             3            120  sun.nio.cs.UTF_8$Decoder
 228:             5            120  java.util.Collections$SynchronizedSet
 229:             2            112  [Ljava.nio.file.StandardOpenOption;
 230:             2            112  [Ljava.nio.file.attribute.PosixFilePermission;
 231:             1            112  java.util.GregorianCalendar
 232:             1            112  java.lang.ref.Finalizer$FinalizerThread
 233:             1            112  java.util.logging.LogManager$Cleaner
 234:             1            104  com.mysql.jdbc.AbandonedConnectionCleanupThread
 235:             1            104  java.lang.ref.Reference$ReferenceHandler
 236:             2             96  java.io.BufferedWriter
 237:             2             96  java.lang.ThreadGroup
 238:             6             96  java.util.concurrent.atomic.AtomicInteger
 239:             4             96  java.io.ExpiringCache$Entry
 240:             2             96  sun.management.GarbageCollectorImpl
 241:             3             96  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping
 242:             4             96  java.util.regex.Pattern$Single
 243:             6             96  java.util.regex.Pattern$BranchConn
 244:             3             96  java.io.FileOutputStream
 245:             3             96  sun.nio.fs.UnixPath
 246:             3             96  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 247:             4             96  java.util.regex.Pattern$Ctype
 248:             3             96  org.ucsd.db.fastview.tableloader.JoinTupleDefinition
 249:             3             96  java.io.FilePermission
 250:             2             96  javax.management.openmbean.TabularType
 251:             4             96  sun.jvmstat.monitor.Variability
 252:             6             96  java.util.LinkedHashSet
 253:             4             96  org.ucsd.db.fastview.datamodel.Vertex
 254:             1             96  sun.security.provider.Sun
 255:             1             96  sun.util.calendar.Gregorian$Date
 256:             1             96  sun.security.jca.ProviderList$1
 257:             6             96  [Lsun.reflect.generics.tree.TypeSignature;
 258:             1             96  [Lnet.sf.ehcache.pool.sizeof.JvmInformation;
 259:             1             88  [Lnet.sf.ehcache.pool.sizeof.FlyweightType;
 260:             2             80  sun.misc.Cleaner
 261:             2             80  java.text.DigitList
 262:             1             80  sun.misc.Launcher$AppClassLoader
 263:             1             80  java.net.URI
 264:             5             80  java.sql.DriverInfo
 265:             2             80  java.io.ExpiringCache
 266:             2             80  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping
 267:             2             80  java.util.Locale$Category
 268:             1             80  sun.misc.Launcher$ExtClassLoader
 269:             3             72  java.util.regex.Pattern$BitClass
 270:             1             72  sun.reflect.misc.MethodUtil
 271:             3             72  [Ljava.security.ProtectionDomain;
 272:             1             72  java.util.logging.LogManager$RootLogger
 273:             1             72  [Ljavax.management.openmbean.SimpleType;
 274:             3             72  org.ucsd.db.fastview.datamodel.JoinTuple$TYPE
 275:             3             72  java.util.LinkedList$Node
 276:             3             72  sun.misc.Signal
 277:             3             72  java.net.InetAddress$InetAddressHolder
 278:             3             72  java.security.SecurityPermission
 279:             3             72  java.net.Proxy$Type
 280:             2             72  [Lsun.security.jca.ProviderConfig;
 281:             3             72  [Ljava.net.InetAddress;
 282:             3             72  java.nio.file.StandardCopyOption
 283:             3             72  java.util.jar.Manifest
 284:             3             72  java.io.FilePermissionCollection
 285:             3             72  java.net.Inet4Address
 286:             3             72  sun.reflect.generics.tree.FormalTypeParameter
 287:             3             72  java.lang.ThreadLocal$ThreadLocalMap
 288:             3             72  java.net.InetAddress$CacheEntry
 289:             1             64  [F
 290:             2             64  java.lang.StringCoding$StringEncoder
 291:             2             64  <compiledICHolderKlass>
 292:             2             64  java.lang.VirtualMachineError
 293:             1             64  sun.security.provider.NativePRNG$RandomIO
 294:             2             64  sun.reflect.generics.repository.ClassRepository
 295:             2             64  java.io.PrintStream
 296:             2             64  [Ljava.lang.Thread;
 297:             2             64  java.io.OutputStreamWriter
 298:             4             64  sun.net.www.protocol.jar.Handler
 299:             1             64  java.text.SimpleDateFormat
 300:             2             64  sun.util.locale.UnicodeLocaleExtension
 301:             2             64  java.lang.ref.ReferenceQueue$Null
 302:             2             64  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping
 303:             1             64  java.util.ResourceBundle$RBClassLoader
 304:             4             64  java.util.HashMap$KeySet
 305:             1             64  [Lsun.jvmstat.perfdata.monitor.v2_0.TypeCode;
 306:             2             64  java.security.BasicPermissionCollection
 307:             2             64  java.lang.StringCoding$StringDecoder
 308:             1             56  com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap
 309:             1             56  com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap
 310:             1             56  org.ucsd.db.fastview.index.IntHashMap
 311:             1             56  [Ljava.lang.Runnable;
 312:             1             56  [Lsun.util.logging.PlatformLogger$Level;
 313:             1             56  sun.jvmstat.perfdata.monitor.protocol.local.LocalVmManager
 314:             1             56  java.net.SocketPermission
 315:             1             56  sun.security.provider.SHA
 316:             1             56  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings
 317:             1             56  java.text.DateFormatSymbols
 318:             3             48  java.util.Collections$UnmodifiableSet
 319:             2             48  java.util.regex.Pattern$5
 320:             2             48  java.util.regex.Pattern$Dollar
 321:             1             48  java.io.Console$LineReader
 322:             1             48  java.util.logging.LogManager
 323:             2             48  sun.util.locale.LocaleExtensions
 324:             2             48  com.sun.jmx.mbeanserver.WeakIdentityHashMap
 325:             1             48  [Lcom.sun.management.VMOption$Origin;
 326:             3             48  java.nio.charset.CodingErrorAction
 327:             2             48  sun.misc.NativeSignalHandler
 328:             1             48  sun.nio.cs.StreamDecoder
 329:             2             48  sun.security.jca.ProviderList
 330:             1             48  java.util.concurrent.locks.ReentrantReadWriteLock$FairSync
 331:             2             48  java.net.InetAddress$Cache
 332:             2             48  java.io.BufferedOutputStream
 333:             2             48  sun.reflect.generics.scope.ClassScope
 334:             2             48  java.util.BitSet
 335:             2             48  java.net.InetAddress$Cache$Type
 336:             2             48  sun.reflect.generics.tree.ClassSignature
 337:             2             48  [Ljava.lang.reflect.TypeVariable;
 338:             2             48  org.ucsd.db.bsmagen1M.diffs.FastViewFanout$ALIAS
 339:             2             48  java.util.regex.Pattern$Slice
 340:             1             48  java.io.Console
 341:             1             48  [Lsun.jvmstat.monitor.Units;
 342:             1             48  [Ljava.math.RoundingMode;
 343:             1             48  java.nio.HeapCharBuffer
 344:             1             48  org.postgresql.core.v3.SimpleQuery
 345:             2             48  com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry
 346:             2             48  java.nio.charset.CoderResult
 347:             3             48  java.text.AttributedCharacterIterator$Attribute
 348:             2             48  sun.management.ManagementFactoryHelper$1
 349:             2             48  sun.security.jca.ProviderList$3
 350:             3             48  java.util.jar.Attributes
 351:             1             48  org.ucsd.db.fastview.datamodel.ArrayHashMap
 352:             1             48  java.io.Console$3
 353:             2             48  java.lang.management.ManagementPermission
 354:             3             48  java.util.HashMap$EntrySet
 355:             2             48  java.io.File$PathStatus
 356:             1             40  com.sun.jmx.mbeanserver.MBeanServerDelegateImpl
 357:             1             40  sun.management.MemoryManagerImpl
 358:             1             40  [[Ljava.lang.String;
 359:             1             40  sun.jvmstat.perfdata.monitor.protocol.local.MonitoredHostProvider
 360:             1             40  sun.util.resources.CalendarData
 361:             1             40  sun.util.resources.CalendarData_en
 362:             2             40  [Lsun.reflect.generics.tree.ClassTypeSignature;
 363:             1             40  java.io.BufferedInputStream
 364:             1             40  sun.text.resources.FormatData
